x;y;
-1.251050;0.565126;
-1.250700;0.564250;
-1.250350;0.563375;
-1.250000;0.562500;
-1.249650;0.561625;
-1.249300;0.560750;
-1.248950;0.559876;
-1.248600;0.559002;
-1.248250;0.558128;
-1.247900;0.557254;
-1.247550;0.556381;
-1.247200;0.555508;
-1.246850;0.554635;
-1.246500;0.553762;
-1.246150;0.552890;
-1.245800;0.552018;
-1.245450;0.551146;
-1.245100;0.550274;
-1.244750;0.549403;
-1.244400;0.548531;
-1.244050;0.547660;
-1.243700;0.546790;
-1.243350;0.545919;
-1.243000;0.545049;
-1.242650;0.544179;
-1.242300;0.543309;
-1.241950;0.542440;
-1.241600;0.541571;
-1.241250;0.540702;
-1.240900;0.539833;
-1.240550;0.538964;
-1.240200;0.538096;
-1.239850;0.537228;
-1.239500;0.536360;
-1.239150;0.535493;
-1.238800;0.534625;
-1.238450;0.533758;
-1.238100;0.532892;
-1.237750;0.532025;
-1.237400;0.531159;
-1.237050;0.530293;
-1.236700;0.529427;
-1.236350;0.528561;
-1.236000;0.527696;
-1.235650;0.526831;
-1.235300;0.525966;
-1.234950;0.525102;
-1.234600;0.524237;
-1.234250;0.523373;
-1.233900;0.522509;
-1.233550;0.521646;
-1.233200;0.520782;
-1.232850;0.519919;
-1.232500;0.519056;
-1.232150;0.518194;
-1.231800;0.517331;
-1.231450;0.516469;
-1.231100;0.515607;
-1.230750;0.514746;
-1.230400;0.513884;
-1.230050;0.513023;
-1.229700;0.512162;
-1.229350;0.511301;
-1.229000;0.510441;
-1.228650;0.509581;
-1.228300;0.508721;
-1.227950;0.507861;
-1.227600;0.507002;
-1.227250;0.506143;
-1.226900;0.505284;
-1.226550;0.504425;
-1.226200;0.503566;
-1.225850;0.502708;
-1.225500;0.501850;
-1.225150;0.500993;
-1.224800;0.500135;
-1.224450;0.499278;
-1.224100;0.498421;
-1.223750;0.497564;
-1.223400;0.496708;
-1.223050;0.495851;
-1.222700;0.494995;
-1.222350;0.494140;
-1.222000;0.493284;
-1.221650;0.492429;
-1.221300;0.491574;
-1.220950;0.490719;
-1.220600;0.489864;
-1.220250;0.489010;
-1.219900;0.488156;
-1.219550;0.487302;
-1.219200;0.486449;
-1.218850;0.485595;
-1.218500;0.484742;
-1.218150;0.483889;
-1.217800;0.483037;
-1.217450;0.482185;
-1.217100;0.481332;
-1.216750;0.480481;
-1.216400;0.479629;
-1.216050;0.478778;
-1.215700;0.477926;
-1.215350;0.477076;
-1.215000;0.476225;
-1.214650;0.475375;
-1.214300;0.474524;
-1.213950;0.473675;
-1.213600;0.472825;
-1.213250;0.471976;
-1.212900;0.471126;
-1.212550;0.470278;
-1.212200;0.469429;
-1.211850;0.468580;
-1.211500;0.467732;
-1.211150;0.466884;
-1.210800;0.466037;
-1.210450;0.465189;
-1.210100;0.464342;
-1.209750;0.463495;
-1.209400;0.462648;
-1.209050;0.461802;
-1.208700;0.460956;
-1.208350;0.460110;
-1.208000;0.459264;
-1.207650;0.458419;
-1.207300;0.457573;
-1.206950;0.456728;
-1.206600;0.455884;
-1.206250;0.455039;
-1.205900;0.454195;
-1.205550;0.453351;
-1.205200;0.452507;
-1.204850;0.451664;
-1.204500;0.450820;
-1.204150;0.449977;
-1.203800;0.449134;
-1.203450;0.448292;
-1.203100;0.447450;
-1.202750;0.446608;
-1.202400;0.445766;
-1.202050;0.444924;
-1.201700;0.444083;
-1.201350;0.443242;
-1.201000;0.442401;
-1.200650;0.441560;
